device mps | source (2592, 3, 1000, 9) (9 domains) -> target (3680, 3, 1000, 9)
network B7 | train 2052 val 540 | batch 36
  epoch  74/200  loss 0.7380  src-val 80.74%  (best 80.74 @ 73)  2535s
  epoch  75/200  loss 0.7450  src-val 80.56%  (best 80.74 @ 73)  2569s
  epoch  76/200  loss 0.7431  src-val 80.56%  (best 80.74 @ 73)  2604s
  epoch  77/200  loss 0.7521  src-val 80.56%  (best 80.74 @ 73)  2638s
  epoch  78/200  loss 0.7498  src-val 80.74%  (best 80.74 @ 73)  2672s
  epoch  79/200  loss 0.7369  src-val 80.74%  (best 80.74 @ 73)  2706s
  epoch  80/200  loss 0.7436  src-val 80.74%  (best 80.74 @ 73)  2740s
  epoch  81/200  loss 0.7358  src-val 80.93%  (best 80.93 @ 81)  2774s
  epoch  82/200  loss 0.7340  src-val 80.93%  (best 80.93 @ 81)  2807s
  epoch  83/200  loss 0.7453  src-val 80.93%  (best 80.93 @ 81)  2842s
  epoch  84/200  loss 0.7408  src-val 80.93%  (best 80.93 @ 81)  2876s
  epoch  85/200  loss 0.7440  src-val 80.93%  (best 80.93 @ 81)  2910s
  epoch  86/200  loss 0.7517  src-val 80.93%  (best 80.93 @ 81)  2944s
  epoch  87/200  loss 0.7508  src-val 80.93%  (best 80.93 @ 81)  2978s
  epoch  88/200  loss 0.7247  src-val 80.74%  (best 80.93 @ 81)  3012s
  epoch  89/200  loss 0.7253  src-val 80.74%  (best 80.93 @ 81)  3046s
  epoch  90/200  loss 0.7484  src-val 80.74%  (best 80.93 @ 81)  3080s
  epoch  91/200  loss 0.7518  src-val 80.56%  (best 80.93 @ 81)  3115s
  epoch  92/200  loss 0.7338  src-val 80.74%  (best 80.93 @ 81)  3149s
  epoch  93/200  loss 0.7292  src-val 80.74%  (best 80.93 @ 81)  3183s
  epoch  94/200  loss 0.7458  src-val 80.74%  (best 80.93 @ 81)  3217s
  epoch  95/200  loss 0.7523  src-val 80.74%  (best 80.93 @ 81)  3251s
  epoch  96/200  loss 0.7502  src-val 80.93%  (best 80.93 @ 81)  3285s
  epoch  97/200  loss 0.7263  src-val 80.93%  (best 80.93 @ 81)  3319s
  epoch  98/200  loss 0.7230  src-val 80.93%  (best 80.93 @ 81)  3353s
  epoch  99/200  loss 0.7579  src-val 81.11%  (best 81.11 @ 99)  3387s
  epoch 100/200  loss 0.7292  src-val 81.30%  (best 81.30 @ 100)  3422s
  epoch 101/200  loss 0.7215  src-val 81.30%  (best 81.30 @ 100)  3456s
  epoch 102/200  loss 0.7425  src-val 81.30%  (best 81.30 @ 100)  3491s
  epoch 103/200  loss 0.7351  src-val 81.48%  (best 81.48 @ 103)  3525s
  epoch 104/200  loss 0.7467  src-val 81.48%  (best 81.48 @ 103)  3559s
  epoch 105/200  loss 0.7241  src-val 81.48%  (best 81.48 @ 103)  3593s
