device mps | source (2592, 17, 1000, 9) (9 domains) -> target (3680, 17, 1000, 9)
network B7 | train 2052 val 540 | batch 36
  epoch  74/200  loss 0.5599  src-val 90.00%  (best 90.37 @ 54)  3299s
  epoch  75/200  loss 0.5598  src-val 90.00%  (best 90.37 @ 54)  3345s
  epoch  76/200  loss 0.5691  src-val 90.00%  (best 90.37 @ 54)  3393s
  epoch  77/200  loss 0.5800  src-val 90.00%  (best 90.37 @ 54)  3440s
  epoch  78/200  loss 0.5700  src-val 90.00%  (best 90.37 @ 54)  3487s
  epoch  79/200  loss 0.5590  src-val 90.19%  (best 90.37 @ 54)  3533s
  epoch  80/200  loss 0.5773  src-val 90.19%  (best 90.37 @ 54)  3580s
  epoch  81/200  loss 0.5620  src-val 90.00%  (best 90.37 @ 54)  3627s
  epoch  82/200  loss 0.5628  src-val 90.00%  (best 90.37 @ 54)  3674s
  epoch  83/200  loss 0.5719  src-val 90.19%  (best 90.37 @ 54)  3720s
  epoch  84/200  loss 0.5633  src-val 90.19%  (best 90.37 @ 54)  3763s
  epoch  85/200  loss 0.5626  src-val 90.19%  (best 90.37 @ 54)  3807s
  epoch  86/200  loss 0.5645  src-val 90.19%  (best 90.37 @ 54)  3850s
  epoch  87/200  loss 0.5655  src-val 90.19%  (best 90.37 @ 54)  3893s
  epoch  88/200  loss 0.5518  src-val 90.19%  (best 90.37 @ 54)  3935s
  epoch  89/200  loss 0.5633  src-val 90.19%  (best 90.37 @ 54)  3978s
  epoch  90/200  loss 0.5810  src-val 90.37%  (best 90.37 @ 54)  4021s
  epoch  91/200  loss 0.5629  src-val 90.37%  (best 90.37 @ 54)  4064s
  epoch  92/200  loss 0.5518  src-val 90.37%  (best 90.37 @ 54)  4107s
  epoch  93/200  loss 0.5540  src-val 90.37%  (best 90.37 @ 54)  4150s
  epoch  94/200  loss 0.5656  src-val 90.37%  (best 90.37 @ 54)  4195s
  epoch  95/200  loss 0.5660  src-val 90.37%  (best 90.37 @ 54)  4238s
  epoch  96/200  loss 0.5663  src-val 90.37%  (best 90.37 @ 54)  4281s
  epoch  97/200  loss 0.5592  src-val 90.37%  (best 90.37 @ 54)  4325s
  epoch  98/200  loss 0.5618  src-val 90.37%  (best 90.37 @ 54)  4369s
  epoch  99/200  loss 0.5703  src-val 90.37%  (best 90.37 @ 54)  4412s
  epoch 100/200  loss 0.5719  src-val 90.37%  (best 90.37 @ 54)  4455s
  epoch 101/200  loss 0.5508  src-val 90.56%  (best 90.56 @ 101)  4500s
  epoch 102/200  loss 0.5533  src-val 90.56%  (best 90.56 @ 101)  4546s
  epoch 103/200  loss 0.5691  src-val 90.74%  (best 90.74 @ 103)  4591s
  epoch 104/200  loss 0.5785  src-val 90.74%  (best 90.74 @ 103)  4637s
  epoch 105/200  loss 0.5583  src-val 90.74%  (best 90.74 @ 103)  4683s
  epoch 106/200  loss 0.5639  src-val 90.74%  (best 90.74 @ 103)  4729s
  epoch 107/200  loss 0.5560  src-val 90.74%  (best 90.74 @ 103)  4777s
  epoch 108/200  loss 0.5487  src-val 90.74%  (best 90.74 @ 103)  4824s
  epoch 109/200  loss 0.5531  src-val 90.74%  (best 90.74 @ 103)  4872s
  epoch 110/200  loss 0.5535  src-val 90.74%  (best 90.74 @ 103)  4920s
  epoch 111/200  loss 0.5591  src-val 90.74%  (best 90.74 @ 103)  4967s
  epoch 112/200  loss 0.5546  src-val 90.74%  (best 90.74 @ 103)  5010s
  epoch 113/200  loss 0.5550  src-val 90.56%  (best 90.74 @ 103)  5053s
  epoch 114/200  loss 0.5756  src-val 90.74%  (best 90.74 @ 103)  5097s
  epoch 115/200  loss 0.5785  src-val 90.74%  (best 90.74 @ 103)  5140s
  epoch 116/200  loss 0.5517  src-val 90.74%  (best 90.74 @ 103)  5184s
  epoch 117/200  loss 0.5567  src-val 90.74%  (best 90.74 @ 103)  5226s
  epoch 118/200  loss 0.5537  src-val 90.74%  (best 90.74 @ 103)  5269s
  epoch 119/200  loss 0.5443  src-val 90.74%  (best 90.74 @ 103)  5312s
  epoch 120/200  loss 0.5488  src-val 90.74%  (best 90.74 @ 103)  5355s
  epoch 121/200  loss 0.5466  src-val 90.74%  (best 90.74 @ 103)  5398s
  epoch 122/200  loss 0.5479  src-val 90.74%  (best 90.74 @ 103)  5441s
  epoch 123/200  loss 0.5538  src-val 90.74%  (best 90.74 @ 103)  5484s
  epoch 124/200  loss 0.5477  src-val 90.74%  (best 90.74 @ 103)  5527s
  epoch 125/200  loss 0.5541  src-val 90.74%  (best 90.74 @ 103)  5573s
  epoch 126/200  loss 0.5529  src-val 90.74%  (best 90.74 @ 103)  5619s
  epoch 127/200  loss 0.5606  src-val 90.74%  (best 90.74 @ 103)  5665s
  epoch 128/200  loss 0.5624  src-val 90.74%  (best 90.74 @ 103)  5711s
  epoch 129/200  loss 0.5512  src-val 90.74%  (best 90.74 @ 103)  5757s
  epoch 130/200  loss 0.5554  src-val 90.74%  (best 90.74 @ 103)  5804s
  epoch 131/200  loss 0.5570  src-val 90.74%  (best 90.74 @ 103)  5850s
  epoch 132/200  loss 0.5518  src-val 90.74%  (best 90.74 @ 103)  5897s
  epoch 133/200  loss 0.5463  src-val 90.74%  (best 90.74 @ 103)  5943s
  epoch 134/200  loss 0.5510  src-val 90.74%  (best 90.74 @ 103)  5990s
  epoch 135/200  loss 0.5477  src-val 90.74%  (best 90.74 @ 103)  6035s
  epoch 136/200  loss 0.5433  src-val 90.74%  (best 90.74 @ 103)  6078s
  epoch 137/200  loss 0.5523  src-val 90.74%  (best 90.74 @ 103)  6121s
  epoch 138/200  loss 0.5565  src-val 90.74%  (best 90.74 @ 103)  6163s
